index,x,y,z,roll,pitch,yaw,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
0,24.445451736450195,-13.251901626586914,0.0,180.0,0.0,179.84080505371094,-0.00011904385775096671,0.00021959722922059306,0.0,0.0,0.0
1,24.245450973510742,-13.251344680786133,0.0,180.0,0.0,179.84080505371094,-0.00011903885462061226,0.0002178005917987523,0.0,0.2000015384065541,0.2000015384065541
2,24.045454025268555,-13.250789642333984,0.0,180.0,0.0,179.84080505371094,-0.00011903386862854859,0.00021600398864492012,0.0,0.19999771842166497,0.3999992568282191
3,23.8454532623291,-13.250234603881836,0.0,180.0,0.0,179.84080505371094,-0.00011902888262227407,0.00021420735122307935,0.0,0.2000015331042407,0.6000007899324598
4,23.645456314086914,-13.249677658081055,0.0,180.0,0.0,179.84080505371094,-0.00011902387949191962,0.00021241074806924718,0.0,0.1999977237240795,0.7999985136565393
5,23.44545555114746,-13.249122619628906,0.0,180.0,0.0,179.84080505371094,-0.00011901889349985595,0.0002106141106474064,0.0,0.2000015331042407,1.00000004676078
6,23.245454788208008,-13.248567581176758,0.0,180.0,0.0,179.84080505371094,-0.00011901390750779228,0.00020881747322556564,0.0,0.2000015331042407,1.2000015798650205
7,23.04545783996582,-13.248010635375977,0.0,180.0,0.0,179.84080505371094,-0.00011900890437743783,0.00020702087007173347,0.0,0.1999977237240795,1.3999993035891
8,22.845457077026367,-13.247455596923828,0.0,180.0,0.0,179.84080505371094,-0.00011900391837116331,0.00020522423264989273,0.0,0.2000015331042407,1.6000008366933407
9,22.64546012878418,-13.24690055847168,0.0,180.0,0.0,179.84080505371094,-0.0001189989323933105,0.00020342762949606053,0.0,0.19999771842166497,1.7999985551150057
10,22.445459365844727,-13.246343612670898,0.0,180.0,0.0,179.84080505371094,-0.00011899392926295604,0.0002016309920742198,0.0,0.2000015384065541,2.00000009352156
11,22.245458602905273,-13.24578857421875,0.0,180.0,0.0,179.84080505371094,-0.00011898894325668152,0.00019983435465237902,0.0,0.2000015331042407,2.2000016266258005
12,22.045461654663086,-13.245233535766602,0.0,180.0,0.0,179.84080505371094,-0.00011898395726461786,0.00019803775149854685,0.0,0.19999771842166497,2.3999993450474655
13,21.845460891723633,-13.24467658996582,0.0,180.0,0.0,179.84080505371094,-0.00011897895414847426,0.00019624111407670608,0.0,0.2000015384065541,2.60000088345402
14,21.645463943481445,-13.244121551513672,0.0,180.0,0.0,179.84080505371094,-0.00011897396815641059,0.0001944445109228739,0.0,0.19999771842166497,2.799998601875685
15,21.445463180541992,-13.243566513061523,0.0,180.0,0.0,179.84080505371094,-0.00011896898215013607,0.00019264787350103314,0.0,0.2000015331042407,3.0000001349799255
16,21.24546241760254,-13.243009567260742,0.0,180.0,0.0,179.84080505371094,-0.00011896397901978162,0.0001908512360791924,0.0,0.2000015384065541,3.2000016733864793
17,21.04546546936035,-13.242454528808594,0.0,180.0,0.0,179.84080505371094,-0.00011895899302771795,0.0001890546329253602,0.0,0.19999771842166497,3.3999993918081444
18,20.8454647064209,-13.241899490356445,0.0,180.0,0.0,179.84080505371094,-0.00011895400703565429,0.00018725799550351946,0.0,0.2000015331042407,3.600000924912385
19,20.64546775817871,-13.241342544555664,0.0,180.0,0.0,179.84080505371094,-0.00011894900389108898,0.00018546139234968726,0.0,0.1999977237240795,3.7999986486364645
20,20.445466995239258,-13.240787506103516,0.0,180.0,0.0,179.84080505371094,-0.00011894401791323617,0.00018366475492784652,0.0,0.2000015331042407,4.000000181740705
21,20.245466232299805,-13.240230560302734,0.0,180.0,0.0,179.84080505371094,-0.00011893901476867086,0.00018186811750600575,0.0,0.2000015384065541,4.2000017201472595
22,20.045469284057617,-13.239675521850586,0.0,180.0,0.0,179.84080505371094,-0.00011893402877660719,0.00018007151435217358,0.0,0.19999771842166497,4.3999994385689245
23,19.845468521118164,-13.239120483398438,0.0,180.0,0.0,179.84080505371094,-0.00011892904279875438,0.00017827487693033281,0.0,0.2000015331042407,4.600000971673166
24,19.645471572875977,-13.238563537597656,0.0,180.0,0.0,179.84080505371094,-0.00011892403965418907,0.00017647827377650064,0.0,0.1999977237240795,4.799998695397245
25,19.445470809936523,-13.238008499145508,0.0,180.0,0.0,179.84080505371094,-0.00011891905366212541,0.00017468163635465987,0.0,0.2000015331042407,5.000000228501486
26,19.24547004699707,-13.23745346069336,0.0,180.0,0.0,179.84080505371094,-0.00011891406767006174,0.00017288499893281913,0.0,0.2000015331042407,5.200001761605727
27,19.045473098754883,-13.236896514892578,0.0,180.0,0.0,179.84080505371094,-0.00011890906453970729,0.00017108839577898693,0.0,0.1999977237240795,5.399999485329807
28,18.84547233581543,-13.23634147644043,0.0,180.0,0.0,179.84080505371094,-0.00011890407854764362,0.0001692917583571462,0.0,0.2000015331042407,5.600001018434048
29,18.645475387573242,-13.235786437988281,0.0,180.0,0.0,179.84080505371094,-0.00011889909255557995,0.000167495155203314,0.0,0.19999771842166497,5.799998736855713
30,18.44547462463379,-13.2352294921875,0.0,180.0,0.0,179.84080505371094,-0.0001188940894252255,0.00016569851778147325,0.0,0.2000015384065541,6.000000275262267
31,18.245473861694336,-13.234674453735352,0.0,180.0,0.0,179.84080505371094,-0.00011888910343316184,0.00016390188035963249,0.0,0.2000015331042407,6.200001808366508
32,18.04547691345215,-13.234119415283203,0.0,180.0,0.0,179.84080505371094,-0.00011888411742688731,0.00016210527720580031,0.0,0.19999771842166497,6.399999526788173
33,17.845476150512695,-13.233562469482422,0.0,180.0,0.0,179.84080505371094,-0.00011887911429653286,0.00016030863978395955,0.0,0.2000015384065541,6.600001065194728
34,17.645479202270508,-13.233007431030273,0.0,180.0,0.0,179.84080505371094,-0.00011887412829025834,0.00015851203663012737,0.0,0.19999771842166497,6.799998783616393
35,17.445478439331055,-13.232452392578125,0.0,180.0,0.0,179.84080505371094,-0.00011886914231240553,0.0001567153992082866,0.0,0.2000015331042407,7.000000316720634
36,17.2454776763916,-13.231895446777344,0.0,180.0,0.0,179.84080505371094,-0.00011886413918205108,0.00015491876178644586,0.0,0.2000015384065541,7.200001855127188
37,17.045480728149414,-13.231340408325195,0.0,180.0,0.0,179.84080505371094,-0.00011885915317577656,0.00015312215863261367,0.0,0.19999771842166497,7.399999573548853
38,16.84547996520996,-13.230785369873047,0.0,180.0,0.0,179.84080505371094,-0.00011885416719792374,0.00015132552121077292,0.0,0.2000015331042407,7.600001106653094
39,16.645483016967773,-13.230228424072266,0.0,180.0,0.0,179.84080505371094,-0.00011884916406756929,0.00014952891805694073,0.0,0.1999977237240795,7.799998830377174
40,16.44548225402832,-13.229673385620117,0.0,180.0,0.0,179.84080505371094,-0.00011884417806129477,0.00014773228063509998,0.0,0.2000015331042407,8.000000363481414
41,16.245481491088867,-13.229116439819336,0.0,180.0,0.0,179.84080505371094,-0.00011883917494515117,0.00014593564321325922,0.0,0.2000015384065541,8.200001901887967
42,16.04548454284668,-13.228561401367188,0.0,180.0,0.0,179.84080505371094,-0.0001188341889530875,0.00014413904005942705,0.0,0.19999771842166497,8.399999620309632
43,15.845484733581543,-13.228006362915039,0.0,180.0,0.0,179.84080505371094,-0.00011882920294681298,0.00014234241120458842,0.0,0.20000057943359673,8.60000019974323
44,15.645487785339355,-13.227449417114258,0.0,180.0,0.0,179.84080505371094,-0.00011882419981645853,0.00014054580805075625,0.0,0.1999977237240795,8.79999792346731
45,15.445487022399902,-13.22689437866211,0.0,180.0,0.0,179.84080505371094,-0.00011881921381018401,0.00013874917062891548,0.0,0.2000015331042407,8.99999945657155
46,15.24548625946045,-13.226339340209961,0.0,180.0,0.0,179.84080505371094,-0.0001188142278323312,0.00013695253320707474,0.0,0.2000015331042407,9.20000098967579
47,15.045489311218262,-13.22578239440918,0.0,180.0,0.0,179.84080505371094,-0.00011880922468776589,0.00013515593005324254,0.0,0.1999977237240795,9.399998713399869
48,14.845488548278809,-13.225227355957031,0.0,180.0,0.0,179.84080505371094,-0.00011880423869570222,0.0001333592926314018,0.0,0.2000015331042407,9.60000024650411
49,14.645491600036621,-13.224672317504883,0.0,180.0,0.0,179.84080505371094,-0.00011879925271784941,0.0001315626894775696,0.0,0.19999771842166497,9.799997964925774
50,14.445490837097168,-13.224115371704102,0.0,180.0,0.0,179.84080505371094,-0.0001187942495732841,0.00012976605205572886,0.0,0.2000015384065541,9.999999503332328
51,14.245490074157715,-13.223560333251953,0.0,180.0,0.0,179.84080505371094,-0.00011878926358122044,0.0001279694146338881,0.0,0.2000015331042407,10.200001036436568
52,14.045493125915527,-13.223005294799805,0.0,180.0,0.0,179.84080505371094,-0.00011878427758915677,0.00012617281148005592,0.0,0.19999771842166497,10.399998754858233
53,13.845492362976074,-13.222448348999023,0.0,180.0,0.0,179.84080505371094,-0.00011877927445880232,0.00012437617405821515,0.0,0.2000015384065541,10.600000293264786
54,13.645495414733887,-13.221893310546875,0.0,180.0,0.0,179.84080505371094,-0.00011877428846673865,0.00012257957090438298,0.0,0.19999771842166497,10.799998011686451
55,13.445494651794434,-13.221338272094727,0.0,180.0,0.0,179.84080505371094,-0.00011876930247467499,0.00012078293348254222,0.0,0.2000015331042407,10.999999544790692
56,13.24549388885498,-13.220781326293945,0.0,180.0,0.0,179.84080505371094,-0.00011876429934432053,0.00011898629606070146,0.0,0.2000015384065541,11.200001083197245
57,13.045496940612793,-13.220226287841797,0.0,180.0,0.0,179.84080505371094,-0.00011875931335225687,0.00011718969290686928,0.0,0.19999771842166497,11.39999880161891
